## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI
44060	periphery	Streptomyces megasporus	Streptomyces megasporus
44251	core	Paenibacillus durus	Paenibacillus durus
44454	core	Mycobacterium avium subsp. avium	Mycobacterium avium
44689	core	Dictyostelium discoideum	Dictyostelium discoideum
45130	periphery	Bipolaris sorokiniana	Bipolaris sorokiniana
45151	periphery	Pyrenophora tritici-repentis	Pyrenophora triticirepentis
45157	core	Cyanidioschyzon merolae	Cyanidioschyzon merolae
45285	periphery	Eremothecium cymbalariae	Eremothecium cymbalariae
45351	periphery	Nematostella vectensis	Nematostella vectensis
45361	periphery	Mycoplasma conjunctivae	Mycoplasma conjunctivae
45596	periphery	Candida tenuis	Candida tenuis
46234	periphery	Anabaena sp. 90	Anabaena sp. 90
46256	periphery	Weissella hellenica	Weissella hellenica
46429	core	Sphingobium chlorophenolicum	Sphingobium chlorophenolicum
46681	periphery	Entamoeba dispar	Entamoeba dispar
47716	periphery	Streptomyces olivaceus	Streptomyces olivaceus
47763	periphery	Streptomyces lydicus	Streptomyces lydicus
47839	periphery	Mycobacterium triplex	Mycobacterium triplex
48698	periphery	Poecilia formosa	Poecilia formosa
50452	periphery	Arabis alpina	Arabis alpina
50960	periphery	Helicobacter trogontum	Helicobacter trogontum
51337	periphery	Jaculus jaculus	Jaculus jaculus
51453	periphery	Trichoderma reesei	Trichoderma reesei
51511	periphery	Ciona savignyi	Ciona savignyi
52598	core	Sulfitobacter sp. EE-36	Sulfitobacter sp. EE36
52644	periphery	Haliaeetus leucocephalus	Haliaeetus leucocephalus
53485	periphery	Pyrenophora teres	Pyrenophora teres
55207	core	Pectobacterium betavasculorum	Pectobacterium betavasculorum
55529	core	Guillardia theta	Guillardia theta
55601	core	Vibrio anguillarum	Vibrio anguillarum
55952	periphery	Streptomyces toyocaensis	Streptomyces toyocaensis
56107	periphery	Cylindrospermum stagnale PCC 7417	Cylindrospermum stagnale
56110	periphery	Oscillatoria acuminata PCC 6304	Oscillatoria acuminata
56780	periphery	Syntrophus aciditrophicus SB	Syntrophus aciditrophicus
57918	core	Fragaria vesca	Fragaria vesca
58123	core	Spirillospora albida	Spirillospora albida
58344	periphery	Streptomyces celluloflavus	Streptomyces celluloflavus
59196	periphery	Rickettsiella grylli	Rickettsiella grylli
59374	core	Fibrobacter succinogenes subsp. succinogenes S85	Fibrobacter succinogenes
59463	periphery	Myotis lucifugus	Myotis lucifugus
59538	periphery	Pantholops hodgsonii	Pantholops hodgsonii
59689	periphery	Arabidopsis lyrata	Arabidopsis lyrata
59748	periphery	Candidatus Phytoplasma australiense	Phytoplasma australiense
59894	periphery	Ficedula albicollis	Ficedula albicollis
59919	periphery	Prochlorococcus marinus subsp. pastoris str. CCMP1986	Prochlorococcus marinus pastoris
59921	periphery	Prochlorococcus marinus str. MIT 9107	Prochlorococcus marinus MIT9107
59925	periphery	Prochlorococcus marinus str. GP2	Prochlorococcus marinus GP2
59926	periphery	Prochlorococcus marinus str. SB	Prochlorococcus marinus SB
59931	periphery	Synechococcus sp. WH 7805	Synechococcus sp. WH 7805
60520	periphery	Lactobacillus paraplantarum	Lactobacillus paraplantarum
60711	periphery	Chlorocebus sabaeus	Chlorocebus sabaeus
61273	periphery	Ophiostoma piceae	Ophiostoma piceae
61459	periphery	Coniosporium apollinis	Coniosporium apollinis
61622	periphery	Rhinopithecus roxellana	Rhinopithecus roxellana
61647	core	Pluralibacter gergoviae	Pluralibacter gergoviae
61853	periphery	Nomascus leucogenys	Nomascus leucogenys
62928	core	Azoarcus sp. BH72	Azoarcus sp. BH72
62977	core	Acinetobacter sp. ADP1	Acinetobacter sp. ADP1
63400	periphery	Arthroderma benhamiae	Arthroderma benhamiae
63402	periphery	Microsporum gypseum	Microsporum gypseum
63405	core	Arthroderma otae	Arthroderma otae
63418	periphery	Trichophyton equinum	Trichophyton equinum
63577	periphery	Trichoderma atroviride	Trichoderma atroviride
63737	core	Nostoc punctiforme PCC 73102	Nostoc punctiforme
64363	periphery	Mycosphaerella pini	Mycosphaerella pini
64471	periphery	Synechococcus sp. CC9311	Synechococcus sp. CC9311
65071	core	Pythium ultimum	Pythium ultimum
65093	core	Halothece sp. PCC 7418	Halothece sp. PCC7418
