59749	Maize rayado fino virus (isolate Costa Rica/Guapiles)	Maize rayado fino virus (MRFV)	MRFV
63330	Hendra virus (isolate Horse/Autralia/Hendra/1994)	Hendra virus	Hendra
674953	Trichomonas vaginalis virus 1	Trichomonas vaginalis virus 1 (TVV1)	TVV1
687340	Torque teno virus 1 (isolate TA278)	Torque teno virus 1	Torque teno
687369	Torque teno mini virus 1 (isolate TLMV-CBD279)	Torque teno mini virus 1 (TTV mini 1)	TTV mini 1
687379	Torque teno midi virus 1 (isolate MD1-073)	Torque teno midi virus 1 (TTV midi 1)	TTV midi 1
687384	Torque teno felis virus (isolate Fc-TTV4)	Torque teno felis virus (TTV felis 1)	TTV felis 1
687385	Torque teno canis virus (isolate Cf-TTV10)	Torque teno canis virus (TTV canis 1)	TTV canis 1
687386	Torque teno sus virus 1 (isolate Sd-TTV31)	Torque teno sus virus 1 (TTV sus 1)	TTV sus 1
693997	Feline coronavirus (strain FIPV WSU-79/1146)	Feline coronavirus (FCoV)	FCoV
694005	Murine coronavirus (strain A59)	Murine coronavirus (MHV)	MHV
694009	Human SARS coronavirus	Human SARS coronavirus (SARS-CoV)	SARS-CoV
694014	Avian infectious bronchitis virus (strain Beaudette)	Avian infectious bronchitis virus (IBV)	IBV
696856	Bovine enteric calicivirus Newbury agent-1 (isolate Bovine/UK/Newbury1/1976)	Bovine enteric calicivirus Newbury agent-1 (BEC)	BEC
70796	Avian encephalomyelitis virus (strain Calnek vaccine)	Avian encephalomyelitis virus (AEV)	AEV
74501	Breda virus 1	Breda virus 1 (BRV-1)	BRV-1
90961	Australian bat lyssavirus (isolate Bat/AUS/1996)	Australian bat lyssavirus (ABLV)	ABLV
92444	Acute bee paralysis virus (strain Rothamsted)	Acute bee paralysis virus (ABPV)	ABPV
95342	Sapporo virus (isolate GI/Human/Germany/pJG-Sap01)	Sapporo virus	Sapporo
99182	Xenotropic MuLV-related virus (isolate VP62)	Xenotropic MuLV-related virus (XMRV)	XMRV
